time_of_day,trains_online,trains_recuperating,post_treatment_status,ro0_status,ro1_status,ro2_status,product_m3_per_hr,onspec_permeate_m3_per_hr,offspec_permeate_m3_per_hr,ro_kw,grid_kw,energy_price
00:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
00:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
00:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
00:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
01:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
01:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
01:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
01:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
02:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
02:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
02:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
02:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
03:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
03:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
03:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
03:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
04:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
04:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
04:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
04:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
05:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
05:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
05:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
05:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
06:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
06:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
06:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
06:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
07:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
07:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
07:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
07:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
08:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
08:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
08:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
08:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
09:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
09:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
09:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
09:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
10:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
10:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
10:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
10:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
11:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
11:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
11:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
11:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
12:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
12:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
12:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
12:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
13:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
13:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
13:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
13:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
14:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
14:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
14:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
14:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
15:00,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
15:15,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
15:30,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
15:45,3,0,1,1,1,1,506.26,506.26,0.24111,1573.3,1958.5,0.1
16:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
20:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
21:00,1.4839,1.4839,0,0.74194,0.74194,0,0,0,250.53,778.19,955.8,0.1
21:15,1.4839,1.4839,0,0.74194,0.74194,0,0,0,250.53,778.19,955.8,0.1
21:30,1.4839,1.4839,0,0.74194,0.74194,0,0,0,250.53,778.19,955.8,0.1
21:45,1.4839,0,0.74194,0.74194,0.74194,0,250.53,250.53,0,778.19,1058.5,0.1
22:00,1.4839,0,0.74194,0.74194,0.74194,0,250.53,250.53,0,778.19,1058.5,0.1
22:15,1.4839,0,0.74194,0.74194,0.74194,0,250.53,250.53,0,778.19,1058.5,0.1
22:30,1.4839,0,0.74194,0.74194,0.74194,0,250.53,250.53,0,778.19,1058.5,0.1
22:45,1.4839,0,0.74194,0.74194,0.74194,0,250.53,250.53,0,778.19,1058.5,0.1
