timestamp,feed_flow_m3_per_hr,feed_status,product_flow_m3_per_hr,tank_volume_m3,tank_level,grid_kw,battery_charge_kw,battery_discharge_kw,battery_soc,energy_price
2025-07-08T00:00:00,0,0,120,500,0.33333,9.5238,0,0,0.49999,0.1
2025-07-08T01:00:00,0,0,110,390,0.26,8.7302,0,0,0.49998,0.1
2025-07-08T02:00:00,150,1,100,440,0.29333,30.159,0,0,0.49997,0.1
2025-07-08T03:00:00,180,1,100,520,0.34667,34.603,0,0,0.49996,0.1
2025-07-08T04:00:00,250,1,110,660,0.44,45.767,0,0,0.49995,0.1
2025-07-08T05:00:00,250,1,130,780,0.52,47.354,0,0,0.49994,0.1
2025-07-08T06:00:00,250,1,175,855,0.57,50.926,0,0,0.49993,0.1
2025-07-08T07:00:00,250,1,205,900,0.6,53.307,0,0,0.49992,0.1
2025-07-08T08:00:00,250,1,225,925,0.61667,54.894,0,0,0.49991,0.1
2025-07-08T09:00:00,250,1,215,960,0.64,54.101,0,0,0.4999,0.1
2025-07-08T10:00:00,250,1,205,1005,0.67,53.307,0,0,0.49989,0.1
2025-07-08T11:00:00,250,1,195,1060,0.70667,52.513,0,0,0.49988,0.1
2025-07-08T12:00:00,250,1,190,1120,0.74667,52.116,0,0,0.49986,0.1
2025-07-08T13:00:00,250,1,190,1180,0.78667,52.116,0,0,0.49985,0.1
2025-07-08T14:00:00,250,1,195,1235,0.82333,62.036,9.5228,0,0.66001,0.1
2025-07-08T15:00:00,250,1,205,1280,0.85333,64.603,11.296,0,0.85,0.1
2025-07-08T16:00:00,0,0,235,1045,0.69667,9.3329,0,9.3179,0.67633,0.45
2025-07-08T17:00:00,0,0,245,800,0.53333,9.3329,0,10.112,0.48787,0.45
2025-07-08T18:00:00,0,0,235,565,0.37667,9.3329,0,9.3179,0.3142,0.45
2025-07-08T19:00:00,0,0,205,360,0.24,9.3329,0,6.9369,0.18491,0.45
2025-07-08T20:00:00,0,0,175,185,0.12333,9.3329,0,4.556,0.1,0.45
2025-07-08T21:00:00,250,1,155,280,0.18667,50.528,1.1897,0,0.12001,0.1
2025-07-08T22:00:00,250,1,145,385,0.25667,59.841,11.296,0,0.31001,0.1
2025-07-08T23:00:00,250,1,135,500,0.33333,59.048,11.296,0,0.5,0.1
